split,train_start,test_start,test_end,sharpe,sortino,calmar,max_drawdown,ann_return,ann_vol,win_rate,total_return,trade_count,sharpe_calm,sharpe_volatile,sharpe_crisis,router_w0,router_w1,router_w2,n_collapse_events,elapsed_s
14,2005-01-03,2014-07-03,2015-01-03,-2.5450378028562417,-2.5584068305833294,-2.7666904539799386,-0.30645765110995327,-0.8478734581516914,0.333147687215348,0.3617021276595745,-0.29615870976775305,12.0,-12.529123908605913,-0.45543226662918324,-1.1533795765045023,0.3005981743335724,0.25206097960472107,0.44734084606170654,0,2637.4
15,2005-01-03,2015-01-03,2015-07-03,3.4811892450361173,5.02205453695141,17.33935458347306,-0.06822571158409113,1.1829898066002569,0.3398234692178777,0.5652173913043478,0.23832769698980028,23.0,0.9337222501904506,1.0255491088312803,4.560678631609729,0.48791924118995667,0.21491242945194244,0.2971683144569397,0,2638.1
16,2005-01-03,2015-07-03,2016-01-03,1.7664360138078805,2.7473253806719433,5.793341017389096,-0.049755008831262326,0.28824773406204285,0.16318039919488947,0.5070422535211268,0.0739693589881405,63.0,3.961641074742224,-1.0736919755811858,1.2536237136329156,0.3048669993877411,0.2740614712238312,0.42107146978378296,0,2631.1
17,2005-01-03,2016-01-03,2016-07-03,-1.2388605698534638,-2.141422343241662,-1.779055854889977,-0.2285307790139599,-0.40656902060525846,0.328179805197499,0.45714285714285713,-0.13493790675234374,15.0,-1.0306500988022564,-1.4627677886297423,-1.7254015467046677,0.505724310874939,0.21044649183750153,0.2838292121887207,0,2651.2
18,2005-01-03,2016-07-03,2017-01-03,-1.1562160711383824,-1.2218128257916256,-1.7647734791682188,-0.15481931959999606,-0.27322102946941884,0.23630620277124362,0.4084507042253521,-0.08599059875296722,53.0,1.373082930404391,-2.3676171680291738,-5.36841411811245,0.5072492361068726,0.24670332670211792,0.24604739248752594,0,2639.2
19,2005-01-03,2017-01-03,2017-07-03,-2.5029946367888893,-2.7767476458989617,-3.2859626698353774,-0.05118312924545807,-0.16818585235453087,0.06719385236877627,0.43478260869565216,-0.049170954238685116,63.0,1.5662038644417318,-8.61598324478354,0.16319651082584796,0.40058475732803345,0.2426641881465912,0.356751024723053,0,2713.9
20,2005-01-03,2017-07-03,2018-01-03,-2.757059454655543,-4.052760524501252,-2.434669107227986,-0.09541885055977202,-0.23231332794854764,0.08426126875158958,0.375,-0.07275301727631978,46.0,-3.6735753291359714,-2.0560439363651093,-4.00412795858778,0.5987146496772766,0.17704589664936066,0.2242395281791687,0,2729.9
21,2005-01-03,2018-01-03,2018-07-03,5.487751465488654,11.931016974638936,30.073279253590492,-0.03139226436114023,0.9440683355424346,0.17203190431103013,0.5507246376811594,0.19964283817133555,61.0,1.491916010293135,1.2850356358466664,9.156874560103816,0.25150492787361145,0.23499968647956848,0.5134953260421753,0,2633.7
22,2005-01-03,2018-07-03,2019-01-03,0.4218459643893507,0.534717387752485,0.7246451686455013,-0.14665200764551237,0.10627066888494818,0.25191818297135365,0.4583333333333333,0.029275956561255922,59.0,6.023125892687948,0.591035285831749,-2.6040462574780245,0.266193151473999,0.26101863384246826,0.4727881848812103,0,2633.4
23,2005-01-03,2019-01-03,2019-07-03,1.1680014487532167,1.8225865789180233,3.330032990493758,-0.10079875669129779,0.33566318551577834,0.2873825077505528,0.5072463768115942,0.08247287789646629,23.0,-1.2266323699577093,1.9774491998528836,2.063952081480292,0.30141523480415344,0.2746310532093048,0.42395374178886414,0,2644.2
24,2005-01-03,2019-07-03,2020-01-03,-1.8311989721134794,-2.370465095366253,-3.0006212760968674,-0.09931894077007664,-0.29801852709415866,0.16274502741069174,0.3611111111111111,-0.09615690841218005,64.0,-1.9001700537185686,-1.4906244237843893,-5.833752851362786,0.6025300025939941,0.1934296041727066,0.20404039323329926,0,2635.3
25,2005-01-03,2020-01-03,2020-07-03,-1.4721662764924042,-1.7033549089726499,-3.2129188895777867,-0.3103491036076877,-0.9971264976659654,0.6773192087340235,0.25,-0.31034910360768797,13.0,-12.672834690951776,-3.1462304401402945,-10.978791416169654,0.15656249225139618,0.3612808883190155,0.4821566641330719,0,2642.1
26,2005-01-03,2020-07-03,2021-01-03,-1.341705479277201,-1.8306266506769249,-1.95798914591124,-0.03315652445714693,-0.06492011519903318,0.0483862636529115,0.4507042253521127,-0.018734022930155914,53.0,-2.6871303755695166,-0.5398967080253281,-0.2615539365780412,0.49225857853889465,0.2770719826221466,0.23066943883895874,0,2641.8
27,2005-01-03,2021-01-03,2021-07-03,-1.6560452391975127,-2.444770571110189,-2.855572258832773,-0.08511138968553611,-0.24304172358227993,0.14676031648413707,0.37142857142857144,-0.07443084585462467,55.0,-2.7192600768130317,-2.6864920598339146,0.4529346627976763,0.500211238861084,0.26282933354377747,0.23695941269397736,0,2682.7
28,2005-01-03,2021-07-03,2022-01-03,2.4985979697004423,5.464482375326036,9.555295691123673,-0.040356741707884905,0.3856206011046732,0.15433479316444237,0.4428571428571429,0.09482737437307187,51.0,5.550503573821567,3.1688812530079984,-3.3412977917626008,0.17974506318569183,0.37475767731666565,0.4454972445964813,0,2648.0
29,2005-01-03,2022-01-03,2022-07-03,2.5156756292740363,3.3176395606937574,9.044531099264915,-0.11417476872652114,1.0326572474028528,0.4104890293226259,0.5714285714285714,0.21779272639007852,36.0,5.931987331996043,1.7467502177884866,0.18349030055937696,0.3242163360118866,0.2449570596218109,0.4308265745639801,0,2645.3
30,2005-01-03,2022-07-03,2023-01-03,-0.4869758692992826,-0.808489130681151,-1.0548706828649284,-0.10991970119626135,-0.11595107036669616,0.23810434485150656,0.4929577464788732,-0.03412725643821324,54.0,-2.2238245498081692,3.8479551097257554,-3.9209331649029306,0.37171241641044617,0.3324483633041382,0.2958391606807709,0,2645.1
31,2005-01-03,2023-01-03,2023-07-03,-0.489678079645139,-0.6047151206240378,-1.1990749625334822,-0.07674809003135497,-0.09202671329877077,0.1879330872161831,0.4782608695652174,-0.026087348213685857,58.0,3.5719321474759402,-6.327837268934381,1.3036784006090576,0.35543692111968994,0.2878741919994354,0.35668885707855225,0,2647.6
32,2005-01-03,2023-07-03,2024-01-03,-0.9379116302810683,-1.352175735552832,-1.422902622371469,-0.1493081411788206,-0.2124509457670436,0.22651488563969108,0.4444444444444445,-0.06596095171165095,62.0,1.7286474117110249,-2.047751356908606,-3.9690448414444424,0.3036620616912842,0.34523805975914,0.3510998785495758,0,2642.3
33,2005-01-03,2024-01-03,2024-07-03,2.2094396212509912,4.093915050189986,8.481761477373636,-0.03923522942727864,0.3327838583603846,0.1506191230294935,0.5,0.08306738768465594,57.0,5.44040381288061,-1.1719029837384138,2.443146817765008,0.28846293687820435,0.3512122631072998,0.3603248596191406,0,2651.8
