agent,split,sharpe,total_return,max_drawdown,calmar,sortino,win_rate
standard_ppo,0,1.8524535646365023,0.48155457517763284,-0.15545429260947524,4.123293099021896,2.633141342297065,0.505
standard_ppo,1,-0.26688141803359566,-0.04522413807935388,-0.19277964616069285,-0.29240577482130325,-0.38188029499634196,0.4726368159203981
standard_ppo,2,1.3844913349303585,0.300217527362304,-0.11838770696911852,3.292386307549998,1.9832001432797068,0.4925373134328358
standard_ppo,3,0.7902294504121268,0.13487172015493942,-0.12626297745365936,1.3541147623913183,1.2093401106433295,0.45049504950495056
standard_ppo,4,0.9429506417474951,0.12388468659762708,-0.10216594588753691,1.5434476489607893,1.3948072920923285,0.4875621890547263
standard_ppo,5,-1.0490826586984001,-0.15258926337229772,-0.2651005746347968,-0.7232846487640957,-1.2046895407314293,0.4540816326530612
standard_ppo,6,0.8124975230509677,0.11255180987624724,-0.2561217169057967,1.018045265200042,1.1927139870316028,0.43965517241379304
standard_ppo,7,0.876987083441948,0.22289228750757295,-0.23541608675720407,1.2120783561704713,1.2237152766301556,0.48514851485148514
standard_ppo,8,-0.7580919446431883,-0.11928821698018799,-0.22320348988267652,-0.6595827077882755,-1.157643990875189,0.4427860696517413
standard_ppo,9,0.9998890274659586,0.18100767014970254,-0.12847350682535613,1.8052631327092776,1.5393154823191797,0.4278606965174129
standard_ppo,10,1.0595926907324438,0.24429008333404423,-0.19490000961872364,1.6174638234010075,1.4305008418619518,0.5024875621890548
standard_ppo,11,-0.5039302452111031,-0.3031361622691613,-0.30313616226916096,-3.2988475943761784,-0.5039302452111031,0.0
standard_ppo,12,2.5162705321497865,0.5372013745280486,-0.09834225893786384,7.264347228965294,4.458432989156822,0.46766169154228854
standard_ppo,13,-0.44749259530999697,-0.10042330908626229,-0.2737142030852175,-0.8405737869276362,-0.6084601994405823,0.5098039215686274
standard_ppo,14,0.4241139093561169,0.08947997624107429,-0.1906416727760124,0.5949909186545229,0.6532146848443566,0.48258706467661694
standard_ppo,15,0.27844270999341075,0.05141378302958555,-0.12508051497248152,0.5160112072706375,0.351567849765232,0.48514851485148514
no_adaptive_clip,0,0.5420478806449082,0.16211719738442287,-0.2434686585209592,0.8560102452316058,0.79560325585577,0.475
no_adaptive_clip,1,-0.48067431231087177,-0.06878222788543875,-0.16281960264845688,-0.5249286075618782,-0.8207459277335669,0.48258706467661694
no_adaptive_clip,2,0.3199252939800812,0.05401314558325376,-0.15243531317925815,0.4472448785724595,0.36358099715724923,0.49751243781094534
no_adaptive_clip,3,-0.5763824004897733,-0.09125548287480789,-0.1632101217626358,-0.689461264514564,-0.7191755504894202,0.43069306930693074
no_adaptive_clip,4,0.3579034538553844,0.009998071850767731,-0.034424301637768856,0.36458999777681156,0.3467904651018292,0.527363184079602
no_adaptive_clip,5,1.1881826534891915,0.09473308702526673,-0.03952931582184567,3.0559771286976196,1.5403656915081976,0.485
no_adaptive_clip,6,0.4371392889760274,0.0731907043751363,-0.2880357375197674,0.5757989229088966,0.7003162197467131,0.46551724137931033
no_adaptive_clip,7,1.7566085414925854,0.4920712991547134,-0.237511335351858,2.725888206289995,3.0176431991055668,0.5148514851485149
no_adaptive_clip,8,-1.1908327175473596,-0.1652943168662785,-0.24535402442180793,-0.826136964430986,-1.3977344101392086,0.4726368159203981
no_adaptive_clip,9,1.7178083065075427,0.32060385007192815,-0.1862264029715984,2.240024481852823,2.8709920273574703,0.4925373134328358
no_adaptive_clip,10,0.033387695800735306,0.007294430879877467,-0.21537407449511461,0.04250142210932459,0.039992099989168105,0.5024875621890548
no_adaptive_clip,11,-0.5039302452111031,-0.3031361622691613,-0.30313616226916096,-3.2988475943761784,-0.5039302452111031,0.0
no_adaptive_clip,12,-0.058640960102127125,-0.015885577676449714,-0.23146039955897452,-0.08587192042256094,-0.09715600644994025,0.45273631840796014
no_adaptive_clip,13,-0.6564894020769928,-0.18346927855253803,-0.24683503642880505,-0.9091135257108951,-1.1868925173961111,0.46766169154228854
no_adaptive_clip,14,-0.4140477817739063,-0.08598581499530422,-0.2546724664157128,-0.47179095120450903,-0.6483277475376196,0.480225988700565
no_adaptive_clip,15,0.447317602300432,0.07493107769209484,-0.16049609129025658,0.5877369344132779,0.6232317869721234,0.4900990099009901
no_regime_critic,0,-1.4249915326785163,-0.2087191091163756,-0.25038979013109697,-2.6816501170918072,-2.258713700782222,0.37735849056603776
no_regime_critic,1,-0.5652146426623207,-0.1217373293855315,-0.25397421256142066,-0.6227508752974997,-1.0106240872878445,0.4842105263157895
no_regime_critic,2,-0.8087198760319996,-0.16938696486761196,-0.26235433804833647,-1.050855572076544,-1.116800597677222,0.46896551724137925
no_regime_critic,3,-2.8833532095164136,-0.2637751121912515,-0.2822559630755252,-2.3297918925353054,-3.7089597094906805,0.4305555555555555
no_regime_critic,4,0.294321389914027,0.04483567769978514,-0.16796388076128305,0.3365493552210281,0.49702177065901854,0.5124378109452736
no_regime_critic,5,1.1893384400921865,0.19999970274716317,-0.20926619131404206,1.2340920973978764,1.623537316340269,0.525
no_regime_critic,6,-2.435517453420071,-0.2484869495612645,-0.25158689604160916,-2.0969869744628764,-2.741166619028189,0.3958333333333333
no_regime_critic,7,-1.7486714653065192,-0.17438995168528226,-0.2539924233069955,-2.5591202525116525,-2.494756003568292,0.4130434782608695
no_regime_critic,8,-1.0245426174936294,-0.18627663971689068,-0.25472521867415415,-0.9348179537043848,-1.2701917461617727,0.46073298429319365
no_regime_critic,9,0.44917512341597254,0.09123616712236449,-0.16757825063138201,0.6903086599458766,0.5733256253130634,0.4925373134328358
no_regime_critic,10,0.05821636067658683,0.015194111040993663,-0.21002105837651303,0.09087619696917824,0.0715512030581086,0.46268656716417916
no_regime_critic,11,-0.5039302452111031,-0.3031361622691613,-0.30313616226916096,-3.2988475943761784,-0.5039302452111031,0.0
no_regime_critic,12,0.20521871972927835,0.04124045002949517,-0.1180406296185039,0.4402910771405032,0.24357780460235218,0.4925373134328358
no_regime_critic,13,-0.5141030889629092,-0.12241680324703852,-0.26408769791602477,-0.5964223010482268,-0.6996236692795103,0.453125
no_regime_critic,14,0.15799395646316375,0.03915396124095172,-0.23453965397779628,0.21032712215235816,0.22980376273461828,0.4925373134328358
no_regime_critic,15,0.12502503697360925,0.015864516164650455,-0.13310209006307602,0.14898400168687978,0.18476066143855444,0.4653465346534654
buy_and_hold,0,1.3692843565436286,0.42179741032064566,-0.18601169786388497,2.9999670216504755,2.047660759973577,0.52
buy_and_hold,1,0.308959070187595,0.066739485250088,-0.22183429945383323,0.38033077796208475,0.48399188647361874,0.47761194029850745
buy_and_hold,2,-0.8910570687131593,-0.13293741622503863,-0.2540110091214239,-1.1598009176871416,-1.0327589748640593,0.5339805825242718
buy_and_hold,3,-2.883353209516413,-0.2637751121912515,-0.2822559630755252,-2.3297918925353054,-3.70895970949068,0.4305555555555556
buy_and_hold,4,0.294321389914027,0.04483567769978514,-0.16796388076128302,0.3365493552210281,0.49702177065901854,0.5124378109452736
buy_and_hold,5,-1.6819607413445528,-0.19416915591327266,-0.2547951666102296,-1.1432552821344801,-2.1041213728717474,0.44936708860759494
buy_and_hold,6,0.018635907804834786,0.002882596278633631,-0.27113978974675973,0.02658306135999126,0.02762127367083832,0.42574257425742573
buy_and_hold,7,1.1307953933205612,0.3373680984435836,-0.23907393670512456,1.828501339645336,2.0284125208495634,0.504950495049505
buy_and_hold,8,0.8337219437866606,0.16060722878050626,-0.21054850367156278,0.97510908161895,1.0719074894562082,0.5771144278606966
buy_and_hold,9,-0.6390657298269358,-0.12119077510772858,-0.27586955017062786,-0.6185474920903686,-0.796809485163022,0.5229885057471264
buy_and_hold,10,-0.07606627188992553,-0.021198576012156356,-0.2452736459382028,-0.1080648609295164,-0.10609645063233068,0.5024875621890548
buy_and_hold,11,-0.5039302452111031,-0.3031361622691613,-0.30313616226916096,-3.2988475943761784,-0.5039302452111031,0.0
buy_and_hold,12,-0.027325119043776405,-0.007942786433091098,-0.23859131027671773,-0.041695005256339596,-0.029722862533079864,0.5572139303482587
buy_and_hold,13,-0.46066253958405734,-0.10364667210323675,-0.27371420308521716,-0.8654094785980103,-0.6284996104743129,0.5098039215686274
buy_and_hold,14,-0.08837538412192714,-0.022429546416480872,-0.27088628491358463,-0.10885147810025995,-0.1417267618818914,0.5026178010471204
buy_and_hold,15,-1.354172236302685,-0.2052804992650865,-0.25647829740035355,-1.4100029872992383,-1.9794740996801685,0.434108527131783
